selector,model,n_features,training_accuracy_score,training_f1_score,training_precision_score,training_recall_score,test_accuracy_score,test_f1_score_average_weighted,test_precision_score_average_weighted,test_recall_score_average_weighted
INFOGAIN,MultinomialNB,150,0.7573425,0.7897299,0.8528360,0.7573425,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,MultinomialNB,100,0.7460112,0.7811464,0.8511144,0.7460112,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,MultinomialNB,75,0.7088542,0.7531313,0.8515170,0.7088542,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,MultinomialNB,50,0.7577998,0.7893576,0.8486664,0.7577998,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,MultinomialNB,10,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,MultinomialNB,5,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,XGBoost,399,,,,,0.9680777,0.9551377,0.9659421,0.9680777
INFOGAIN,XGBoost,300,,,,,0.9677908,0.9557391,0.9613120,0.9677908
INFOGAIN,XGBoost,200,,,,,0.9678318,0.9549799,0.9637655,0.9678318
INFOGAIN,XGBoost,150,,,,,0.9680162,0.9550982,0.9653680,0.9680162
INFOGAIN,XGBoost,100,,,,,0.9681392,0.9566045,0.9619635,0.9681392
INFOGAIN,XGBoost,75,,,,,0.9681597,0.9561293,0.9631622,0.9681597
INFOGAIN,XGBoost,50,,,,,0.9682006,0.9556489,0.9651054,0.9682006
INFOGAIN,XGBoost,10,,,,,0.9674835,0.9553316,0.9599925,0.9674835
INFOGAIN,XGBoost,5,,,,,0.9666025,0.9571071,0.9562481,0.9666025
INFOGAIN,GradientBoostingClassifier,399,0.9028582,0.8905878,0.8927128,0.9028582,0.9682006,0.9558901,0.9642266,0.9682006
INFOGAIN,GradientBoostingClassifier,300,0.8986408,0.8843476,0.8871068,0.8986408,0.9665820,0.9518624,0.9611998,0.9665820
INFOGAIN,GradientBoostingClassifier,200,0.9030742,0.8914879,0.8929153,0.9030742,0.9673606,0.9544304,0.9609273,0.9673606
INFOGAIN,GradientBoostingClassifier,150,0.9032393,0.8919861,0.8931146,0.9032393,0.9677089,0.9552685,0.9617419,0.9677089
INFOGAIN,GradientBoostingClassifier,100,0.9071392,0.8971573,0.8981837,0.9071392,0.9679138,0.9565930,0.9606712,0.9679138
INFOGAIN,GradientBoostingClassifier,75,0.9065295,0.8962938,0.8974040,0.9065295,0.9680982,0.9564636,0.9619650,0.9680982
INFOGAIN,GradientBoostingClassifier,50,0.9060467,0.8956885,0.8967792,0.9060467,0.9682211,0.9566597,0.9623870,0.9682211
INFOGAIN,GradientBoostingClassifier,10,0.9047002,0.8942064,0.8950219,0.9047002,0.9677704,0.9566620,0.9598758,0.9677704
INFOGAIN,GradientBoostingClassifier,5,0.9002033,0.8864505,0.8892587,0.9002033,0.9671557,0.9543632,0.9594123,0.9671557
PEARSON,RandomForestClassifier,399,0.9933054,0.9933053,0.9933051,0.9933054,0.9655165,0.9552896,0.9533664,0.9655165
PEARSON,RandomForestClassifier,300,0.9928608,0.9928588,0.9928569,0.9928608,0.9653526,0.9553105,0.9531294,0.9653526
PEARSON,RandomForestClassifier,200,0.9926702,0.9926650,0.9926607,0.9926702,0.9658649,0.9558311,0.9542987,0.9658649
PEARSON,RandomForestClassifier,150,0.9921748,0.9921694,0.9921648,0.9921748,0.9658649,0.9563580,0.9546179,0.9658649
PEARSON,RandomForestClassifier,100,0.9899898,0.9899704,0.9899572,0.9899898,0.9657009,0.9566097,0.9545618,0.9657009
PEARSON,RandomForestClassifier,75,0.9891006,0.9890696,0.9890519,0.9891006,0.9651682,0.9565044,0.9538976,0.9651682
PEARSON,RandomForestClassifier,50,0.9677083,0.9671998,0.9670607,0.9677083,0.9565422,0.9477245,0.9406921,0.9565422
PEARSON,RandomForestClassifier,10,0.8801321,0.8566990,0.8586473,0.8801321,0.9653731,0.9484452,0.9321008,0.9653731
PEARSON,RandomForestClassifier,5,0.8783028,0.8535881,0.8553501,0.8783028,0.9653936,0.9484555,0.9321014,0.9653936
PEARSON,SVC,399,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
